id,x,y,verticalGDL,horizontalGDL
451,0.000000,40.769231,0,4
452,1.428571,40.769231,0,0
453,2.857143,40.769231,0,0
454,4.285714,40.769231,0,0
455,5.714286,40.769231,0,0
456,7.142857,40.769231,0,0
457,8.571429,40.769231,0,0
458,10.000000,40.769231,0,0
459,11.428571,40.769231,0,0
460,12.857143,40.769231,0,0
461,14.285714,40.769231,0,0
462,15.714286,40.769231,0,0
463,17.142857,40.769231,0,0
464,18.571429,40.769231,0,0
465,20.000000,40.769231,0,3
466,0.000000,42.128205,0,4
467,1.428571,42.128205,0,0
468,2.857143,42.128205,0,0
469,4.285714,42.128205,0,0
470,5.714286,42.128205,0,0
471,7.142857,42.128205,0,0
472,8.571429,42.128205,0,0
473,10.000000,42.128205,0,0
474,11.428571,42.128205,0,0
475,12.857143,42.128205,0,0
476,14.285714,42.128205,0,0
477,15.714286,42.128205,0,0
478,17.142857,42.128205,0,0
479,18.571429,42.128205,0,0
480,20.000000,42.128205,0,3
481,0.000000,43.487179,0,4
482,1.428571,43.487179,0,0
483,2.857143,43.487179,0,0
484,4.285714,43.487179,0,0
485,5.714286,43.487179,0,0
486,7.142857,43.487179,0,0
487,8.571429,43.487179,0,0
488,10.000000,43.487179,0,0
489,11.428571,43.487179,0,0
490,12.857143,43.487179,0,0
491,14.285714,43.487179,0,0
492,15.714286,43.487179,0,0
493,17.142857,43.487179,0,0
494,18.571429,43.487179,0,0
495,20.000000,43.487179,0,3
496,0.000000,44.846154,0,4
497,1.428571,44.846154,0,0
498,2.857143,44.846154,0,0
499,4.285714,44.846154,0,0
500,5.714286,44.846154,0,0
501,7.142857,44.846154,0,0
502,8.571429,44.846154,0,0
503,10.000000,44.846154,0,0
504,11.428571,44.846154,0,0
505,12.857143,44.846154,0,0
506,14.285714,44.846154,0,0
507,15.714286,44.846154,0,0
508,17.142857,44.846154,0,0
509,18.571429,44.846154,0,0
510,20.000000,44.846154,0,3
511,0.000000,46.205128,0,4
512,1.428571,46.205128,0,0
513,2.857143,46.205128,0,0
514,4.285714,46.205128,0,0
515,5.714286,46.205128,0,0
516,7.142857,46.205128,0,0
517,8.571429,46.205128,0,0
518,10.000000,46.205128,0,0
519,11.428571,46.205128,0,0
520,12.857143,46.205128,0,0
521,14.285714,46.205128,0,0
522,15.714286,46.205128,0,0
523,17.142857,46.205128,0,0
524,18.571429,46.205128,0,0
525,20.000000,46.205128,0,3
526,0.000000,47.564103,0,4
527,1.428571,47.564103,0,0
528,2.857143,47.564103,0,0
529,4.285714,47.564103,0,0
530,5.714286,47.564103,0,0
531,7.142857,47.564103,0,0
532,8.571429,47.564103,0,0
533,10.000000,47.564103,0,0
534,11.428571,47.564103,0,0
535,12.857143,47.564103,0,0
536,14.285714,47.564103,0,0
537,15.714286,47.564103,0,0
538,17.142857,47.564103,0,0
539,18.571429,47.564103,0,0
540,20.000000,47.564103,0,3
541,0.000000,48.923077,0,4
542,1.428571,48.923077,0,0
543,2.857143,48.923077,0,0
544,4.285714,48.923077,0,0
545,5.714286,48.923077,0,0
546,7.142857,48.923077,0,0
547,8.571429,48.923077,0,0
548,10.000000,48.923077,0,0
549,11.428571,48.923077,0,0
550,12.857143,48.923077,0,0
551,14.285714,48.923077,0,0
552,15.714286,48.923077,0,0
553,17.142857,48.923077,0,0
554,18.571429,48.923077,0,0
555,20.000000,48.923077,0,3
556,0.000000,50.282051,0,4
557,1.428571,50.282051,0,0
558,2.857143,50.282051,0,0
559,4.285714,50.282051,0,0
560,5.714286,50.282051,0,0
561,7.142857,50.282051,0,0
562,8.571429,50.282051,0,0
563,10.000000,50.282051,0,0
564,11.428571,50.282051,0,0
565,12.857143,50.282051,0,0
566,14.285714,50.282051,0,0
567,15.714286,50.282051,0,0
568,17.142857,50.282051,0,0
569,18.571429,50.282051,0,0
570,20.000000,50.282051,0,3
571,0.000000,51.641026,0,4
572,1.428571,51.641026,0,0
573,2.857143,51.641026,0,0
574,4.285714,51.641026,0,0
575,5.714286,51.641026,0,0
576,7.142857,51.641026,0,0
577,8.571429,51.641026,0,0
578,10.000000,51.641026,0,0
579,11.428571,51.641026,0,0
580,12.857143,51.641026,0,0
581,14.285714,51.641026,0,0
582,15.714286,51.641026,0,0
583,17.142857,51.641026,0,0
584,18.571429,51.641026,0,0
585,20.000000,51.641026,0,3
586,0.000000,53.000000,1,4
587,1.428571,53.000000,1,0
588,2.857143,53.000000,1,0
589,4.285714,53.000000,1,0
590,5.714286,53.000000,1,0
591,7.142857,53.000000,1,0
592,8.571429,53.000000,1,0
593,10.000000,53.000000,1,0
594,11.428571,53.000000,1,0
595,12.857143,53.000000,1,0
596,14.285714,53.000000,1,0
597,15.714286,53.000000,1,0
598,17.142857,53.000000,1,0
599,18.571429,53.000000,1,0
600,20.000000,53.000000,1,3
