mesh_node,dic_node,distance
332,1591,0.22006519670347727
333,1594,0.18977108499911774
334,1597,0.1757197110792932
335,29,0.21042666112786373
336,233,0.11718383622963499
337,1405,0.22420227270384802
338,1408,0.21014112524262424
339,1411,0.21356323648553138
340,1414,0.23295652769590283
341,1417,0.26481554899054993
342,1420,0.3052617978216481
343,1384,0.3066310988828329
344,1387,0.30944701459109925
345,1430,0.2849090329860094
346,1433,0.2482180581925912
347,1436,0.22180301691929896
348,1439,0.2110464203121073
349,25,0.09533178152879543
350,237,0.21912407716142396
351,1247,0.25538453856564336
352,1250,0.24421031104683844
353,1253,0.2472741252272751
354,1256,0.26420442998721855
355,1259,0.292681588105411
356,1223,0.2822392364823157
357,1226,0.2723873191179579
358,1229,0.27555339891483566
359,1232,0.291313334267198
360,1275,0.277754282490189
361,1278,0.2544244786635947
362,1281,0.24519200972403712
363,22,0.22844450909468503
364,240,0.12247207914296869
365,1089,0.2884298561682139
366,1092,0.2785158352049587
367,1095,0.28112595678817953
368,1098,0.2961271541044933
369,1062,0.27366740788496735
370,1065,0.24946093103634828
371,1068,0.23825746812989812
372,1071,0.24187071992475598
373,1074,0.2596829378786243
374,1077,0.28902388670925544
375,1120,0.2874354291252162
376,1123,0.28030499704580947
377,18,0.07657399049354896
378,244,0.19593937053327784
379,891,0.29551566869221196
380,934,0.3127523373514634
381,937,0.31507330527617083
382,901,0.2821797685554369
383,904,0.24446547552965736
384,907,0.2170259770188493
385,910,0.2040493560566507
386,913,0.20825696565633559
387,916,0.22870231046654915
388,919,0.26154220629945923
389,922,0.3028664975348808
390,965,0.3129833504360258
391,15,0.2466242067693854
392,247,0.13223910060660674
393,733,0.2815757148743946
394,736,0.3274485753423527
395,740,0.306388215248603
396,743,0.2584825669173866
397,746,0.21668221972313
398,749,0.1851704358670341
399,752,0.16977619186839804
400,755,0.17481069579000433
401,758,0.19881232090750234
402,761,0.23585147404220047
403,764,0.28099209379712387
404,767,0.3352423493499886
405,11,0.058394539302039666
406,251,0.17322281688285826
407,575,0.2578304249893687
408,578,0.3104616545709459
409,582,0.28851219375305126
410,585,0.2370771020915405
411,588,0.19078093688454423
412,591,0.15410741846913678
413,594,0.1352767753623445
414,597,0.14159623742946592
415,600,0.17028846682164
416,603,0.2124746565919639
417,606,0.2617097345035173
418,609,0.31904589615192
419,8,0.265029611316451
420,254,0.1454342349793579
421,417,0.23641914214838933
422,420,0.29153249643461876
423,424,0.2690436840752245
424,427,0.2135290162219001
425,430,0.16136165618124704
426,433,0.11696352122558308
427,436,0.09221228100511494
428,439,0.10258621777323305
429,442,0.14052922544276025
430,445,0.19017425960378004
431,448,0.24456636987016275
432,451,0.3042157840289025
433,4,0.04166870733250299
434,258,0.4288676758002251
435,260,0.26692603207937365
436,264,0.30998809802760596
437,267,0.2506186244119456
438,270,0.19116728023417412
439,273,0.13183946027240098
440,276,0.07251911403568582
441,279,0.014608937074226558
442,282,0.047292854652479226
443,285,0.10637682529532755
444,288,0.16577551776816515
445,291,0.22512347149832262
446,294,0.28460992382459493
447,1,0.2869228828798866
